font_family,count
29LT Bukra,6417
29LT Bukra Semi Wide,5824
29LT Bukra Wide,6151
29LT Makina,6949
29LT Zarid Sans,6064
A Day Without Sun Text,7756
ABeeZee,14375
Abhaya Libre,13853
Ablation,6582
Abril Fatface,12644
Abstracted Dream,5907
Abys,5625
Acherus Grotesque,6392
Achiote,5700
Active Heart,5644
Adam Script,6572
Adigiana Toybox,8148
Adirek Sans,5857
Adlery Swash,5649
Adumu Regular,6786
Afrah,7888
Agrandir Grand,19700
Agrandir Narrow,17033
Agrandir Tight,9072
Agrandir Wide,16762
Ahkio,6836
Ahsing,7172
Aileron,45014
Aileron Heavy,5691
Aileron Regular,6885
Akzidenz-Grotesk,14502
Alata,12332
Alatsi,7161
Alef,6177
Alegreya,14537
Alegreya SC,6233
Alegreya Sans,9985
Alegreya Sans SC,6962
Aleo,10442
Aleo Light,5984
Alex Brush,9351
Alexandria,5652
Alfa Slab One,8387
Alibaba Sans,5994
Alice,22181
Alike,8139
Allura,6762
Aloja,6791
Alta,9072
Amaranth,10574
Amatic SC,7314
Amiko,7603
Amiri,5902
Amoresa,6577
Amsterdam Four,8709
Amsterdam One,9202
Amsterdam Three,8265
Amsterdam Two,6885
Anaktoria,7828
Anantason,8930
Anantason Condensed,6010
Anantason Expanded,6714
Anantason ExtraExpanded,6390
Anantason SemiExpanded,5746
Anantason UltraExpanded,5914
Anastasia Script,5906
Anca Coder,6894
Anchorage,5661
Andasia,6073
Andika,5660
Angelina,6889
Angella White,6330
Aniyah,5802
Anonymous Pro,17464
Another Shabby,6032
Ansam,5873
Anteb,6193
Antic,12867
Antic Didone,6875
Antio,6434
Antique Olive,6293
Anton,45004
Antonio,25146
Apricots,11348
Aprila,6956
Araboto,6199
Arapey,10745
Arbutus Slab,6540
Arcade Gamer,6376
Architects Daughter,7401
Archive,6908
Archivo Black,33640
Archivo Narrow,9777
Argent,7464
Arial,21343
Arial Nova,16388
Arial Nova Condensed,6143
Arial Unicode,12352
Arialle,6626
Arima Madurai,5851
Arimo,45003
Arista Pro,6785
Aristotelica Pro,13393
Aristotelica Pro Condensed,7612
Arsenal,6560
Arsenica,6653
Arsenica Antiqua,7510
Art Nuvo,5683
Artegra Sans,5978
Articulat,10196
Arturo,5754
Arvo,9586
Asap,7020
Asap Condensed,7675
Assistant,14296
Atkinson Hyperlegible,18576
Atma,10329
Atteron,7636
Avenir,10771
Awesome Lathusca,6420
B612,6221
BM Hanna,7560
Bai Jamjuree,5867
Bakerie,8300
Balabeloo,6059
Balgin,6780
Balgin expanded,5860
Ballpoint,9819
Balmy,6448
Baloo,6936
Baloo Bhaijaan,5992
Baloo Thambi,5742
Balsamiq Sans,15622
Bangbang,5865
Bangers,7400
Bantayog,8924
Barabara,5723
Barbra,5777
Barlow,32611
Barlow Condensed,20765
Barlow SemiCondensed,15940
Baron,5888
Barriecito,7150
Barrio,5750
Baskerville Display PT,7366
Batangas,6655
Bauer Bodoni,5700
Be Vietnam,30144
Beautifully Delicious Sans,9394
Beautifully Delicious Script,10930
Bebas Neue,30957
Bebas Neue Cyrillic,14102
Bellaboo,7931
Bellefair,5998
Belleza,34079
Benedict,5693
Berkshire Swash,12191
Bernier,6149
Bernoru,11189
Bernoru Condensed,6508
Bernoru Expanded,6379
Bernoru SemiCondensed,8322
Berthold Block,9370
Best light,6172
Beth Ellen,6966
Betm rounded,6850
Better Saturday,6569
Better Together Script,5773
Bevan,6139
Bicubik,5853
Big Shoulders Display,9456
Billion Miracles,5779
Bimbo,5929
Binate,6847
Binggo Wood,6009
Biro Script Plus,6550
Biryani,6735
Biski,9644
Bitter,7851
Black Bones,6000
Black Mango,16841
Blacker Sans Pro,6023
Blacker Sans Text,5704
Blinker,12187
Bloc,6075
Blogger,11021
Blueberry,10110
Bobby Jones,23059
Bobby Jones Condensed,7540
Bobby Jones Condensed Soft,7168
Bobby Jones Soft,13265
Bodoni FLF,14434
Body Grotesque,7400
Body Grotesque Fit,6096
Body Grotesque Large,5637
Body Text,7636
Bogart,8983
Boldoa,7205
Boriboon,6701
Borsok,8196
Bosk,5776
Boston Angel,9401
Boulder,7061
Brasika,9757
Breathing,11035
Bree Serif,10482
Brendon,5672
Breul Grotesk,7907
Brice BoldCondensed,6951
Brice SemiExpanded,10649
Brick Sans,5651
Bricolage Grotesque,31343
Bricolage Grotesque Condensed,5800
Bright,5890
Bright Retro,8532
Bright Sunshine,6459
Brightwall,7912
Bristol,6055
Brittany,28223
Brixton,7311
Brixton Sans,7077
Brown Sugar,10310
Brusher,6784
Bryndan Write,14043
Bubblebody Neue,11606
Buffalo,7355
Bugaki,10023
Bukhari Script,8508
Bungee,6577
Buongiorno Rastellino,5729
Burgues Script,6389
CMU Serif,8979
CS Gordon Rounded,6523
CS Gordon Serif,5770
Cabin,7231
Cabin Sketch,5741
Cagliostro,5807
Cairo,5733
Cakerolli,8713
Caladea,7915
Calibri (MS),6383
Calistoga,9078
Calps,5781
Calps Sans,5993
Canda Tawa Cute,6208
Candal,6389
Candice,5857
Cantora One,6166
Canva Sans,45000
Canva Student Font,20540
Canva Student Font Dotted,6794
Capriola,6960
Cardo,21882
Carelia,5817
Carlito,6218
Carollo Playscript,6517
Carter One,7003
Cartograph Mono,5779
Catamaran,8118
Catchy Mager,12097
Caveat,7090
Caveat Brush,8953
Celandine,5944
Century Gothic Paneuropean,12869
Cerebri,39130
Chakra Petch,5850
Chapbook,5737
Charm,5672
Chau Philomene,9057
Cheddar,5732
Cheque,5652
Cherry Bomb One,6277
Chewy,17475
Childling,7455
Childos Arabic,14805
Children One,6097
Chloe,6523
Chunk Five,8704
Cinzel,12615
Cinzel Decorative,8823
Circe,6536
Circe Contrast,5748
Citadel Script,5887
Clear Sans,29222
Clear Sans Regular,5994
Cloud,9339
Cloud Loop,5948
Cloud Soft,7451
Coco Gothic,13761
Cocomat Pro,11017
Code Pro,25054
Codec Pro,28104
Codec Pro ExtraBold,5955
Coiny,6648
Comfortaa,6278
Comic Relief,5908
Comic Sans,10802
Comica,6626
Coming Soon,6681
Computer Says No,5901
Contrail One,6411
Cooper BT,11293
Cooper Hewitt,29434
Corben,5889
Core Bandi Face,7114
Cormorant Garamond,25829
Cormorant SC,7208
Corporative,8034
Cosmic Octo,6566
Costa Rica,5683
Courgette,5732
Courier Prime,11696
Coustard,6755
Cranberry,5747
Crave Sans,5937
Crimson Pro,11824
Crimson Roman,5656
Croogla,5724
Crusoe Text,6669
Cubao,6776
Cubao Narrow,6235
Cubao Wide,5658
Cy Grotesk Grand,8228
Cy Grotesk Key,14707
Cy Grotesk Wide,8604
DG Jory,7226
DIN Next,5908
DM Sans,45000
DM Serif Display,22451
Dancing Script,6180
Darker Grotesque,9566
Darumadrop One,5910
Daydream,8472
Decalotype,8034
DejaVu Serif,6389
Dekko,10008
Della Respira,9225
Didact Gothic,9909
Dingos Stamp,6763
Disket Mono,5811
Dosis,12659
Doublebass,6421
Dream Avenue,15557
Dreaming Outloud All Caps,7195
Dreaming Outloud Sans,13641
Dreaming Outloud Sans Alt,8041
Dreaming Outloud Script,6885
Droid Serif,12942
Drukaatie Burti,6146
Duru Sans,5638
Dynapuff,7832
EB Garamond,9430
EFCO Brookshire,7454
Eastman Grotesque,10434
Eastman Pack,5759
Economica,5802
Eczar,11498
Edo,7529
Elika Gorica,6792
Engagement,5846
Etna Sans Serif,12786
Evolve Sans,9656
Evolventa,5965
Exo 2,6365
Extenda 30 Deca,6636
Extenda 40 Hecto,5963
Extenda 50 Mega,5861
Extenda 60 Giga,6078
Eyesome Script,7398
FF Providence Sans,8511
Fahkwang,6536
Farro,6593
Feel Free Playful,6105
Feeling Passionate,8402
Fibre,6645
Finger Paint,7008
Fira Code,10578
Fira Sans,10376
Flatory Sans,6161
Foda Display,5857
Formula,5933
Forum,11056
Francois One,6722
Frankfurter Medium,5680
Fraunces,12386
Fredoka,37045
Frunchy Sage,7014
Frutiger,5869
Funtastic,15322
Futura,28987
Futura Display,6582
Gabriel Sans,9057
Gabriel Sans Condensed,7373
Gaegu,22233
Gagalin,13161
Gamja Flower,5831
Garamond,7262
Garbata,6260
Garet,45000
Garet ExtraBold,10681
Garuda,5798
Gatwick,13102
Gayathri,5649
Gellatio,6046
Genty,9486
Genty Sans,16942
Georgia Pro,7546
Georgia Pro Condensed,5903
Germania One,6232
Giaza,8346
Gidole,7673
Gilam,5797
Gilda Display,7468
Gill Sans,6101
Gill Sans Display,5677
Gilroy,7726
Gistesy,10118
Glacial Indifference,45000
Gladiola,6476
Glass Antiqua,6728
Gliker,12163
Gliker Expanded,6045
Gliker condensed,5770
Glock Grotesk,6164
Gloria Hallelujah,6751
Gluten,5993
Gochi Hand,9700
GoodTime Grotesk,5724
Gordita,19992
Gotham,45001
Gotham Condensed,6472
Goudy,6043
Grand Hotel,6239
Great Vibes,9657
Grenze,5965
Greycliff,6766
Gulfs Display,11114
HK Gothic,7470
HK Grotesk,42038
HK Grotesk Bold,5651
HK Grotesk Pro,9465
HK Modular,8498
HK Sentiments,6386
Hagrid,11150
Hagrid Text,10128
Halant,5940
Halimum,12586
Halley,7237
Hammersmith One,11895
HandMade,6439
Handelson Four,6568
Handelson One,5919
Handelson Three,6526
Handy Casual,16942
Handyman,12142
Hangyaboly,7334
Hanuman,5738
Happy Font TH,7108
Harmattan,7113
Harnet Serif,6472
Hatton,20113
Heading Now 31-38,7686
Heading Now 61-68,7177
Heading Now 71-78,11330
Heading Now 91-98,6645
Heebo,9090
Helios,13816
Helios Extended,10366
Helvetica,8172
Helvetica Now,18216
Helvetica Now Condensed,5715
Helvetica Now Display,10303
Helvetica World,45005
Helveticish,10176
Hero,21255
Hertical,5742
Hey Gotcha!,6387
Hibernate,6409
High Cruiser,6765
Higuen Elegant Serif,11723
Hind Guntur,6480
Hit and Run,6495
Hitchcut,6437
Hobo,5651
Holiday,12313
Hollywood,5898
Homemade Apple,6743
Horizon,22181
Hussar Bold,8021
IBM Plex Mono,9436
IBM Plex Sans,14458
IBM Plex Sans Condensed,6932
IBM Plex Serif,8407
IM Fell,7147
ITC Avant Garde Gothic,12739
ITC Bauhaus,5994
ITC Benguiat,6614
ITC Edwardian Script,6050
ITC Franklin Gothic LT,6427
ITC Motter Corpus Condensed,6371
ITC Motter Corpus Regular,6028
ITC Motter Corpus Semicondensed,6116
Ibarra Real Nova,7552
Impact,10609
Inria Serif,11675
Inter,45013
Intro,7105
Intro Pro,7150
Intro Rust,11656
Intro Rust G Base2Line,5932
Intro Script,5931
IreneFlorentina,12148
Itim,6508
JA Jayagiri Sans,6377
JA Jayagiri Sans Rough,5796
Jaturat,6002
Jeepers,8418
JetBrains Mono,8853
Jimmy Script,7085
Jingleberry,7012
Jonathan,6641
Josefin Sans,32270
Josefin Slab,6129
Jua,25590
Julius Sans One,7502
Just Another Hand,6160
KG Primary Dots,10138
KG Primary Dots Lined,9511
KG Primary Penmanship,45144
KG Primary Penmanship Lined,5969
Kabel,6332
Kaftus,5911
Kage,5775
Kalam,6940
Kapsalon,5692
Kaushan Script,6890
Kelin Eator,5952
Kenao Sans Serif,6702
Khand,5689
Kingred Modern,9869
Kingred Youth,5982
Kite One,5745
Kitsch Display,6178
Klein,10089
Klein Condensed,6003
Klemer Display,5636
Knewave,8567
Knockout Cruiserweight,6329
Knockout Welterweight,5682
Kollektif,26833
Krub,6204
Kuchek,5750
Kudryashev Display,5819
Kudryashev Display Sans,5877
Kulachat Serif,6669
Kulachat Slab,5715
La Lou,6548
La Luxes Serif,5696
Laila,6436
Lancelot,6487
Lastica,6604
Lato,45000
Lato Heavy,6048
Lavonia Classy,6702
Lazord Sans Serif,5907
Lazord Sans Serif Expanded,5760
Lazydog,29547
Le Jour Script,6711
Le Jour Serif,8623
Le Petit Cochon,9812
League Gothic,16336
League Spartan,45000
Leckerli One,5692
Lekton,8012
Lemon Tuesday,6622
Lexend Deca,19654
Lexend Exa,7842
Lexend Giga,5651
Lexend Mega,5873
Liberation Sans,7345
Libra Serif Modern,6793
Libre Baskerville,29792
Libre Franklin,13345
Life Savers,6387
Lilita One,23470
Limelight,5985
Linotype Feltpen,6325
Linux Biolinum,6882
Literata,6890
Literaturnaya,7809
Livvic,21427
Lobster,6864
Lobster Two,6723
London,5745
Londrina Solid,14098
Lora,37454
Loubag,10127
Lovelace,8480
Lovelace Text,6483
Lovelo,15039
Lovely May Script,5673
Lovera,6202
Lucidity Condensed,9042
Lucidity Expand,6274
Luciole,6978
Luckiest Guy,9701
Lucky Bones,8524
Lulu Font TH,6832
Lumios Brush,6013
Lumios Marker,6685
Lustria,8121
Luthier,5741
Madelyn,6095
Maely,5815
Magnolia Script,7225
Maharlika,9683
Majesty,5671
Mak,5824
Mali,10284
Malibu,5904
Malik,5818
Mango AC,10410
Manison,5672
Manjari,10656
Mansalva,7846
Maragsa,8685
Marcellus,11060
March,7366
March Rough,5788
Mardoto,6330
Margin,6345
Marta,6518
Martel,6226
Martel Sans,5995
Marykate,23524
Maven Pro,6593
MediaPro,5668
Merriweather,7927
Merriweather Sans,5923
Michegar,6079
Michroma,5708
Migra,12291
Milk Tea Font TH,7070
Mina,6032
Mistrully,9412
Mokoto,6295
Mommi,6328
Monda,5678
Monkey,5625
Mont,42505
Montagna,6359
Montaser Arabic,19583
Monterchi,5983
Monterchi Serif,7044
Montserrat,45001
Montserrat Classic,45005
Montserrat Light,16144
Monument,11698
Moonjelly,5691
Moonlight,7291
Moontime,14484
More Sugar,39901
Morisawa Role Sans Text Pro,7149
Mr Dafoe,7249
Mukti,6492
Muli,26720
Mulled Wine Season,6278
Muller,9549
Museo Moderno,6590
Nautilius Pompilius,5680
Nectarine,6997
Negrita Pro,5886
Neo Sans,5654
Neo Tech,5632
Neue Einstellung,12606
Neue Machina,24353
Neue Montreal,21817
New Icon,5890
New Icon Script,5839
New Sun Playful,6715
Nexa,11357
Nexa Script,6472
Nexa Slab,5709
Nickainley,7946
Niconne,5897
Noah,6579
Noot,6920
Norwester,21045
Noticia Text,5728
Noto Sans,11006
Noto Serif,11084
Noto Serif Display,10336
Noto Serif Display ExtraCondensed,12205
Noto Serif Ethiopic Condensed,6055
Nourd,30239
Nove,5658
Now,45001
Nunito,45001
Nunito Bold,8769
Nunito Sans,18792
Nunito Sans Condensed,7221
Nunito Sans Expanded,6661
Object Sans,9775
Obra Letra,6113
Oilvare Base,6243
Old Standard,7807
Oleo Script,6652
One Little Font,22454
Open Sans,45009
Open Sans Bold,7700
Open Sans Condensed,6382
Open Sans Extra Bold,28259
Open Sans Hebrew,5832
Open Sans Light,10202
Open Sauce,45005
Opun,5849
Opun Mai,6267
Oregano,6991
Oswald,26826
Overpass,8115
Overpass Light,6373
Ovo,17242
PT Sans,14743
PT Serif,10715
Paalalabas Condensed,5908
Paalalabas Wide,7230
Pacifico,7530
Pagkaki,7118
Pangolin,6513
Panton,5984
Para,6499
Parisienne,7238
Passion One,6274
Pathway Gothic One,6209
Pattanakarn,6166
Paytone One,6238
Peace Sans,10809
Perandory,7095
Perandory Condensed,6917
Permanent Marker,6507
Pierson,5969
Pinyon Script,10247
Placard Next Wide,5800
Play,6689
Playfair Display,43560
Playfair Display SC,7045
Playlist Script,14208
Playpen Sans,12369
Playwrite US Modern,5914
Pluma,9617
Podkova,6106
Poetsen,6434
Pompiere,6659
Poppins,45018
Poppins Bold,16069
Poppins Light,29884
Poppins Medium,31066
Porcelain,7319
Portland,5659
Prachason Neue,6499
Pragmatica,7255
Pragmatica Extended,6099
Prata,7657
Press Start 2P,5744
Prompt,14117
Proxima Nova,32044
Proxima Nova Condensed,5629
Public Sans,45008
Puimek Font TH,6272
Quando,5915
Quattrocento,12176
Questrial,25694
Quiche,7753
Quicksand,45001
Quincy,8646
Racing Sans One,7277
Radley,11222
Radnika Next,7224
Railey,6776
Rajdhani,6088
Rakkas,5816
Raleway,45003
Rasputin,9691
Recoleta,7484
Recoleta Alt,5833
Red Hat Display,23023
Redressed,6017
Regular Brush,7190
Repo,5772
Retropix,6551
Ribeye,6119
Roboto,45001
Roboto Condensed,18054
Roboto Mono,14181
Roboto Slab,10116
Roca One,12328
Roca Two,11296
Roller Coaster Serif,6026
Romman,6469
Rosario,11815
RoxboroughCF,36598
Rubik,16706
Rubik Mono,5725
Rubik One,9629
Ruda,9276
Rugrats Sans,8411
Rundeck,5658
Rushk,5933
Rustic Printed,7213
Rye,5957
Sacramento,6519
Safira March,9523
Sailors,8678
Sailors Condensed,5727
Saira,8095
Saira Condensed,8586
Sanchez,10750
Sansation,6029
Sansita,6084
Sarabun,6297
Satisfy,6789
Sawarabi Mincho,5824
Schoolbell,9840
Scripter,10658
Segment A,5914
Sego,6433
Selima,5895
Sensa Wild Fill,6038
Sensei,9043
Sergio Trendy,8528
Shadows Into Light Two,5968
Shantell Sans,7545
Shlop,5723
Shrikhand,12993
Sifonn,11053
Sigher,8729
Signature,7725
Signika,7793
Simonetta,8179
Singel,5665
Six Caps,5997
Six Hands Marker,6052
Slight,5711
Sloop Script Pro,12327
Slopes,6292
Sniglet,31311
Solomon Sans,8290
Solway,10224
Some Time Later,5826
Sondos,8590
Sorts Mill Goudy,7179
Source Sans Pro,21388
Source Serif Pro,10195
Space Mono,15142
Special Elite,9000
Sports World,6595
Sprite Graffiti,5923
Squada One,10638
Sriracha,5803
Staatliches,7511
Stadio Now Novarese,5705
Stadio Now Text,5732
Stars & Love,5808
Stars & Love Bottom Heavy,5662
Stavok Grotesque,5655
Stella,5994
Stinger Fit,5820
Stinger Wide,5698
Sue Ellen Francisco,6707
Sugo Display,7925
Sukar,13326
Sunborn,6941
Sunday,8403
Suranna,5779
Sweet Apricot,8729
Swung Note,6711
Symphony,5903
TAN Aegean,14557
TAN Angleton,10178
TAN Ashford,7825
TAN Astoria,7130
TAN Buster,5977
TAN Garland,7361
TAN Giok,5983
TAN Harmoni,6419
TAN Headline,9834
TAN Jambore,7149
TAN Kindred,7891
TAN Meringue,11893
TAN Mignon,6513
TAN Mon Cheri,16539
TAN New York,6106
TAN Nightingale,6442
TAN Nimbus,10615
TAN Parfait,5949
TAN Pearl,18348
TAN Songbird,7690
TAN St. Canard,6465
TAN Summers,5868
TAN Tangkiwood,8994
TAN Twinkle,7104
TAN Vivre Libre,6025
TC Chaddlewood,5694
TC Milo,6456
TC October,6676
TS Qamus,5626
TT Backwards,6056
TT Bluescreens,6305
TT Chocolates,19446
TT Commons Pro,20326
TT Commons Pro Expanded,6433
TT Corals,6319
TT Drugs,11938
TT Firs Neue,11158
TT Fors,16998
TT Fors Display,5882
TT Hazelnuts,7136
TT Hoves,24552
TT Interphases,22741
TT Interphases Mono,6653
TT Lakes Neue,5882
TT Masters,5899
TT Milks Script,5820
TT Norms,23627
TT Octosquares,5665
TT Ramillas,8334
TT Rounds Condensed,6139
TT Rounds Neue,6670
TT Runs,6247
TT Supermolot Neue,5843
TT Wellingtons,5835
Tabarra Round,6630
Tabarra Sans,5791
Tallow Sans Pen,5719
Tek Tall Arabic,5717
Telegraf,45000
Tenor Sans,22780
Tex Gyre Bonum,5736
Tex Gyre Pagella,5854
Tex Gyre Termes,15989
The Seasons,45002
The Youngest,7411
The Youngest Script,6857
The Youngest Serif,8290
Times New Roman,11603
Times New Roman Condensed,12672
Titillium Web,6102
Tomorrow,9529
Touvlo,10898
Trebuchet MS,6158
Trocchi,6882
Trochut,5805
Tropika,9435
Tropika Script,5751
Tropikal,6032
True Typewriter,7715
Tufuli Arabic,5994
Twister,6059
UKIJ Qolyazma Tuz,5875
Ubuntu,12890
Ultra,5777
Univers,8748
VAG Rounded Next,9072
VT323,5898
Varela Round,10991
Versailles,6032
Vidaloka,8150
Vintage Goods,6511
Vintage Rotter,6169
Virtual,6974
Visby,5753
Vollkorn,7238
WC Mano Negra Bold,5953
Waffle Soft,7598
Walter Turncoat,5710
Waterlily,5711
Wedges,9836
White Star,5874
Wide,6179
Woodland,6568
Work Sans,6694
XM Yekan,5631
Yanone Kaffeesatz,6693
Yellowtail,10005
Yeseva One,13221
Yusei Magic,6002
Zcool XiaoWei,6754
Zen Maru Gothic,5762
Zenaida,6560
Zing Rust Base,7062
Zuume Rough Bold,8754
