font_family,count
29LT Bukra,1417
29LT Bukra Semi Wide,824
29LT Bukra Wide,1151
29LT Makina,1949
29LT Zarid Sans,1064
A Day Without Sun Text,2756
ABeeZee,9375
Abhaya Libre,8853
Ablation,1582
Abril Fatface,7644
Abstracted Dream,907
Abys,625
Acherus Grotesque,1392
Achiote,700
Active Heart,644
Adam Script,1572
Adigiana Toybox,3148
Adirek Sans,857
Adlery Swash,649
Adumu Regular,1786
Afrah,2888
Agrandir Grand,14700
Agrandir Narrow,12033
Agrandir Tight,4072
Agrandir Wide,11762
Ahkio,1836
Ahsing,2172
Aileron,40014
Aileron Heavy,691
Aileron Regular,1885
Akzidenz-Grotesk,9502
Alata,7332
Alatsi,2161
Alef,1177
Alegreya,9537
Alegreya SC,1233
Alegreya Sans,4985
Alegreya Sans SC,1962
Aleo,5442
Aleo Light,984
Alex Brush,4351
Alexandria,652
Alfa Slab One,3387
Alibaba Sans,994
Alice,17181
Alike,3139
Allura,1762
Aloja,1791
Alta,4072
Amaranth,5574
Amatic SC,2314
Amiko,2603
Amiri,902
Amoresa,1577
Amsterdam Four,3709
Amsterdam One,4202
Amsterdam Three,3265
Amsterdam Two,1885
Anaktoria,2828
Anantason,3930
Anantason Condensed,1010
Anantason Expanded,1714
Anantason ExtraExpanded,1390
Anantason SemiExpanded,746
Anantason UltraExpanded,914
Anastasia Script,906
Anca Coder,1894
Anchorage,661
Andasia,1073
Andika,660
Angelina,1889
Angella White,1330
Aniyah,802
Anonymous Pro,12464
Another Shabby,1032
Ansam,873
Anteb,1193
Antic,7867
Antic Didone,1875
Antio,1434
Antique Olive,1293
Anton,40004
Antonio,20146
Apricots,6348
Aprila,1956
Araboto,1199
Arapey,5745
Arbutus Slab,1540
Arcade Gamer,1376
Architects Daughter,2401
Archive,1908
Archivo Black,28640
Archivo Narrow,4777
Argent,2464
Arial,16343
Arial Nova,11388
Arial Nova Condensed,1143
Arial Unicode,7352
Arialle,1626
Arima Madurai,851
Arimo,40003
Arista Pro,1785
Aristotelica Pro,8393
Aristotelica Pro Condensed,2612
Arsenal,1560
Arsenica,1653
Arsenica Antiqua,2510
Art Nuvo,683
Artegra Sans,978
Articulat,5196
Arturo,754
Arvo,4586
Asap,2020
Asap Condensed,2675
Assistant,9296
Atkinson Hyperlegible,13576
Atma,5329
Atteron,2636
Avenir,5771
Awesome Lathusca,1420
B612,1221
BM Hanna,2560
Bai Jamjuree,867
Bakerie,3300
Balabeloo,1059
Balgin,1780
Balgin expanded,860
Ballpoint,4819
Balmy,1448
Baloo,1936
Baloo Bhaijaan,992
Baloo Thambi,742
Balsamiq Sans,10622
Bangbang,865
Bangers,2400
Bantayog,3924
Barabara,723
Barbra,777
Barlow,27611
Barlow Condensed,15765
Barlow SemiCondensed,10940
Baron,888
Barriecito,2150
Barrio,750
Baskerville Display PT,2366
Batangas,1655
Bauer Bodoni,700
